UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Altacera,@slmagicworlds,2021-07-08T23:38:03.000Z,"My monster says hi

#valkyriepup #canecorso #dog #giantdog #giantbreed",,,,
Shinsuke Take,@shinshin63jp,2021-07-08T23:38:01.000Z,"懐かしい写真が出てきた。

かわいいかったなぁ。

#dog
#ミミ
#cat
#ふにゃ
#なんだかんで仲良し https://instagram.com/p/CRFbwtOJ5gpGk9p94C4AOh9Gjd8VrlHQ-efCAE0/?utm_medium=twitter…",,,,
Devi sianturi,@devi_syan,2021-07-08T23:37:49.000Z,+ #dog #bts #friday,🦝 🐶,,,
Coco Poof,@coco_poof,2021-07-08T23:36:03.000Z,'The Cat and Dog Apocalypse' Classic T-Shirt https://redbubble.com/i/t-shirt/The-Cat-and-Dog-Apocalypse-by-openstudios/67622914.240QL… A brand new design of the Open Studios office animal gang #cute #funny #dog #cat #animal #animals #meme #puppy #dogs #pet #apocalypse #cats #love,,,,
Bulldog Lover Worldwide,@BulldogsPuppies,2021-07-08T23:35:45.000Z,"First time hearing him make this noise over a Gammon hock #bulldog #englishbulldog #bulldogpuppies #dogThe following media includes potentially sensitive content. Change settings
View",,,,
Bulldog Lover Worldwide,@BulldogsPuppies,2021-07-08T23:35:44.000Z,"First post here’s my little terror 5 months old couple of pictures they change a lot :) #bulldog #englishbulldog #bulldogpuppies #dogThe following media includes potentially sensitive content. Change settings
View",,,,
Bulldog Lover Worldwide,@BulldogsPuppies,2021-07-08T23:35:43.000Z,"Sir Kingston… Lounging in my humans patio spot wet from my pool  #bulldog #englishbulldog #bulldogpuppies #dogThe following media includes potentially sensitive content. Change settings
View",🙃,,,1
黒柴のふみこ,@fuuuuuuchan2020,2021-07-08T23:35:17.000Z,#名古屋 #西区　でさらには目撃情報あり　お近くにお住まいの方よろしくお願い致します。#迷子犬　#柴犬  #黒柴　#黒柴犬 #dog #shibainu #kuroshiba #shibadog #kuroshibadog   https://instagram.com/stories/kyojuro.kuroshiba/2613360274203723145?utm_medium=share_sheet…,,1,,
Happy Bub Dog,@happybubdog,2021-07-08T23:33:25.000Z,"Hiduplah Seperti Rumput, Biasa Saja Sudah Bagus #happy #dog https://tionghoa.com/hiduplah-seperti-rumput-biasa-saja-sudah-bagus/…",,,,
cesar_millan_bot,@cesar_millan_,2021-07-08T23:33:24.000Z,ピットブルのダディとチワワのココには犬のリハビリで何度も助けられました。 #dog,,,,
バウム,@baumsan,2021-07-08T23:33:12.000Z,"摩耶山掬星台の風景＆夜景
http://youtube.com/watch?v=F0TAoCp7g7w… ##cat #dog #photoSUB4SUB　摩耶山掬星台の風景＆夜景 #eizosuisen
摩耶山掬星台の夜景は日本三大夜景の一つと言われています。その美しさは昔から１００万ドルの夜景と言われて来ましたが、今では1000万ドルの夜景ともいえます。ここの展望スペースからの夜景は、大阪から神戸まで望むことができます。六甲山中の人里はなれた寂しい場所ですが、夜にもなると夜景をお目当てのカップルたちが押し寄せて...
youtube.com",,,,1
U.C.T,@uctripper,2021-07-08T23:32:48.000Z,"おはワン♪
疲れるんで
時々休憩〜
#犬 #犬のリハビリ #犬の介護 #いぬ #いぬのいる暮らし #いぬバカ部 #いぬのきもち #イヌ #ラブラドールレトリーバー #チョコラブ #sippoストーリー #dog #labradorretriever",☔ 🐕 💦,,,
LOVE Hachi,@LOVEHachi3,2021-07-08T23:31:08.000Z,"Good morning,Hachi

#ハチ公 #hachiko #Hachi #Akita #Shibuya #station #statue #woonsocket #dog #doglover #秋田犬 #渋谷 #Japan #Odate #大館市 #斎藤弘吉  #鶴岡市 #上野英三郎 #三重県 #津市 #坂野八重子 #犬の像 #犬好き #HACHI約束の犬 #faitfuldog #loyaldog #秋田県 #かはく",💓,,,
さくら＆きなこパパ,@sakuraboston,2021-07-08T23:31:08.000Z,朝寝坊中 #ボストンテリア #鼻ぺちゃ #ブヒ #bostonterrier #instadog #instadogs #いぬすたぐらむ #dog https://instagram.com/p/CRFa-SfDVN3/?utm_medium=twitter…,,,,
d0lphin_ebooks,@d0lphin_ebooks,2021-07-08T23:30:30.000Z,the thirst is real af #fargo #puppy #dog #dogs #aussie #australianshepherd...,,,,
